articulum,min_price,brands
7P0498287,600,"VOLKSWAGEN, VAG"
7P0616006H,500,"PORSCHE, CONTINENTAL, VOLKSWAGEN"
7P0616213,350,"VOLKSWAGEN, PORSCHE, VAG"
7P0827505G,300,"VOLKSWAGEN, SKODA, SEAT, VAG"
7P6698451C,500,"VOLKSWAGEN, PORSCHE, VAG"
80A945070,966,AUDI
8K0615301,783,"AUDI, VAG"
8K0615601M,720,"AUDI, VAG"
8K0698151P,475,"AUDI, VAG"
8K0698151R,570,"AUDI, VAG"
8M0033407,700,MERCURY
8R0407694B,470,"AUDI, VAG"
8V0880204G,930,"SKODA, VAG"
8W0615301T,870,"AUDI, VAG"
8W0615601K,800,"VOLKSWAGEN, AUDI, VAG"
9GTRONIC,100,"MERCEDES, BENZ, MERCEDES BENZ"
9Y0698451AC,983,PORSCHE
A-6421540402,800,"MERCEDES, BENZ, MERCEDES BENZ, VALEO"
A0001531159,279,"MERCEDES, BENZ, MERCEDES BENZ, CITROEN, MINI"
A0002007323,624,"MERCEDES, BENZ, MERCEDES BENZ"
A0002309111,800,"DENSO, BENZ, MERCEDES, MERCEDES BENZ, VAG"
A0004200205,999,"MERCEDES, BENZ, MERCEDES BENZ"
A0004201405,880,"BENZ, MERCEDES, MERCEDES BENZ, TEXTAR"
A0004203105,773,"BENZ, MERCEDES, MERCEDES BENZ"
A0004205102,900,"BENZ, MERCEDES, MERCEDES BENZ, HYUNDAI, KIA"
A0004205900,604,"BENZ, MERCEDES, MERCEDES BENZ, AMG"
A0004209004,499,"MERCEDES, BENZ, MERCEDES BENZ"
A0004209304,306,"MERCEDES, BENZ, MERCEDES BENZ, DELPHI"
A0004209403,875,"BENZ, MERCEDES, MERCEDES BENZ"
A0004209603,900,"MERCEDES, BENZ, MERCEDES BENZ"
A0004212112,100,MERCEDES
A000423101207,391,"BENZ, MERCEDES, MERCEDES BENZ"
A0008800300,477,"MERCEDES, BENZ, MERCEDES BENZ"
A0009050401,720,MERCEDES
A0009051103,599,"MERCEDES, BENZ, MERCEDES BENZ"
A0009052504,589,"MERCEDES, BENZ, MERCEDES BENZ"
A0009053303,700,MERCEDES
A0009054603,700,"MERCEDES, BENZ, DODGE, JEEP, MERCEDES BENZ"
A0009054907,10,"MERCEDES, BENZ, MERCEDES BENZ"
A0009056503,700,"MERCEDES, BENZ, MERCEDES BENZ"
A0009059413,111,"BENZ, MERCEDES, MERCEDES BENZ, AMG"
A0009059704,800,"MERCEDES, BENZ, MERCEDES BENZ"
A0009061505,418,"BENZ, MERCEDES, MERCEDES BENZ"
A0009063000,800,"MERCEDES, BENZ, MERCEDES BENZ, VALEO"
A0009829508,285,"MERCEDES, BENZ, MERCEDES BENZ"
A0009909819,500,"MERCEDES, BENZ, MERCEDES BENZ"
A0009931078,800,"MERCEDES, FEBI, BMW"
A0009935002,150,"MERCEDES, BENZ, MERCEDES BENZ"
A0009935876,781,"MERCEDES, FEBI, BENZ, BMW, MERCEDES BENZ"
A0019828108,990,
A0024601948,900,"MERCEDES, BENZ, MERCEDES BENZ, FORD, LEMFORDER"
A0034205283,500,"BENZ, MERCEDES, MERCEDES BENZ"
A0044204020,919,"MERCEDES, AMG, BENZ, MERCEDES BENZ"
A0064204120,913,"MERCEDES, BENZ, MERCEDES BENZ"
A0065421718,510,"BENZ, MERCEDES, MERCEDES BENZ"
A007420102041,900,"MERCEDES, BENZ, MERCEDES BENZ"
A0074206720,10,"MERCEDES, BENZ, MERCEDES BENZ"
A0084201720,360,"BENZ, MERCEDES, MERCEDES BENZ, SUBARU"
A0084201820,100,"BENZ, MERCEDES, MERCEDES BENZ"
A0091535028,681,MERCEDES
A0141540402,100,"BENZ, MERCEDES, MERCEDES BENZ, VALEO"
A0995002703,99,"MERCEDES, BENZ, MERCEDES BENZ, AMG"
A0995003500,720,"MERCEDES, BENZ, MERCEDES BENZ, AMG"
A0997503500,900,"BENZ, MERCEDES, MERCEDES BENZ"
A0998100316,600,"MERCEDES, BMW, AUDI, BENZ, MERCEDES BENZ"
A0999064601,800,"MERCEDES, BENZ, MERCEDES BENZ"
A1122000970,391,"MERCEDES, BENZ, MERCEDES BENZ"
A1642820182,410,
A1643202431,300,MERCEDES
A1643206013,800,MERCEDES
A1643300385,599,"BENZ, MERCEDES, MERCEDES BENZ, NISSAN, TOYOTA"
A1643300685,590,
A1643300801,999,"MERCEDES, BENZ, MERCEDES BENZ"
A1643302401,100,"MERCEDES, BENZ, MERCEDES BENZ"
A1644211312,800,"MERCEDES, BENZ, MERCEDES BENZ"
A1648690421,700,"MERCEDES, BENZ, MERCEDES BENZ"
A1663201200,504,"MERCEDES, BENZ, MERCEDES BENZ"
A1663260365,680,MERCEDES
A1663300107,767,"MERCEDES, BENZ, MERCEDES BENZ"
A1663500053,100,"MERCEDES, BENZ, MERCEDES BENZ"
A1664230700,680,MERCEDES
A1664606000,100,MERCEDES
A1664700490,681,MERCEDES
A1665001091,700,"BENZ, MERCEDES, MERCEDES BENZ"
A1665005275,850,"MERCEDES, BENZ, MERCEDES BENZ"
A1665010265,800,"MERCEDES, BENZ, MERCEDES BENZ"
A1666205901,659,"MERCEDES, BENZ, MERCEDES BENZ"
A1668307201,480,"MERCEDES, BENZ, MERCEDES BENZ"
A1668800506,790,"MERCEDES, BENZ, MERCEDES BENZ"
A1668840190,440,"MERCEDES, BENZ, MERCEDES BENZ"
A1668847722,499,"BENZ, MERCEDES, MERCEDES BENZ"
A1668850753,10,"MERCEDES, BENZ, MERCEDES BENZ, AMG"
A1668851925,200,"MERCEDES, BENZ, MERCEDES BENZ"
A1668856625,721,"MERCEDES, AMG"
A1669060002,955,"BENZ, MERCEDES, MERCEDES BENZ"
A1669063301,100,"MERCEDES, BENZ, MERCEDES BENZ"
A1673237400,100,"MERCEDES, BENZ, MERCEDES BENZ"
A1673305500,100,"MERCEDES, BENZ, MERCEDES BENZ, AMG"
A1673306700,950,"MERCEDES, BENZ, MERCEDES BENZ, LAND ROVER"
A1678804000,760,"MERCEDES, BENZ, MERCEDES BENZ"
A1678850406,810,"MERCEDES, BENZ, MERCEDES BENZ, AMG"
A1768200144,550,MERCEDES
A2032700089,680,MERCEDES
A2034702394,420,"MERCEDES, BENZ, MERCEDES BENZ"
A2043260200,599,"BENZ, MERCEDES, MERCEDES BENZ"
A2053304107,100,"MERCEDES, BENZ, MERCEDES BENZ, AMG"
A2053305901,680,"MERCEDES, BENZ, MERCEDES BENZ"
A2053308403,100,"MERCEDES, BENZ, MERCEDES BENZ, AMG"
A2113560000,760,MERCEDES
A2114230912,660,"BENZ, MERCEDES, MERCEDES BENZ"
A2122406317,500,"MERCEDES, BENZ, MERCEDES BENZ"
A2123204630,920,"MERCEDES, BENZ, MERCEDES BENZ"
A2126200191,722,MERCEDES
A2133302100,900,"MERCEDES, BENZ, MERCEDES BENZ"
A2137300205,105,"BENZ, MERCEDES, MERCEDES BENZ"
A2139005711,15,MERCEDES
A2202770998,400,"BENZ, MERCEDES, MERCEDES BENZ"
A2213205513,798,"BENZ, MERCEDES, MERCEDES BENZ"
A2213306400,500,MERCEDES
A2213370245,999,"MERCEDES, BENZ, MERCEDES BENZ"
A2222408517,200,"MERCEDES, BENZ, MAYBACH, MERCEDES BENZ"
A2309810127,475,"MERCEDES, BENZ, MERCEDES BENZ"
A2463772400,890,"MERCEDES, BENZ, MERCEDES BENZ"
A2513300807,440,"MERCEDES, BENZ, MERCEDES BENZ"
A2700109703,960,"MERCEDES, BENZ, MERCEDES BENZ"
A2700521400,500,"MERCEDES, BENZ, MERCEDES BENZ"
A2701410025,600,"MERCEDES, BENZ, MERCEDES BENZ"
A2710300963,10,"BENZ, MERCEDES, MERCEDES BENZ"
A2710901929,500,"MERCEDES, BENZ, MERCEDES BENZ"
A2711801410,430,"BENZ, BMW, MERCEDES, MERCEDES BENZ"
A2712001001,165,MERCEDES
A2720500003,700,"BENZ, MERCEDES, MERCEDES BENZ"
A2721402201,900,MERCEDES
A2721800510,247,MERCEDES
A2722000031,500,"MERCEDES, BENZ, MERCEDES BENZ"
A2722000515,950,"MERCEDES, BENZ, MERCEDES BENZ"
A2722000901,680,MERCEDES
A2732000201,760,MERCEDES
A2741880101,680,"MERCEDES, BENZ, MERCEDES BENZ"
A2760100331,600,"MERCEDES, BENZ, MERCEDES BENZ"
A2760500278,275,MERCEDES
A2762000370,192,"MERCEDES, BENZ, MERCEDES BENZ"
A2762001301,550,"MERCEDES, BENZ, MERCEDES BENZ, VAG"
A2762010701,999,"MERCEDES, BENZ, MERCEDES BENZ"
A2782000570,680,MERCEDES
A2C59511700,499,"VOLKSWAGEN, SEAT, SKODA, AUDI, VDO"
A4473265400,1,MERCEDES
A4603330314,599,"BENZ, MERCEDES, MERCEDES BENZ"
A4635001100,463,"MERCEDES, BENZ, MERCEDES BENZ, AMG"
A4639063601,800,"MERCEDES, BENZ, MERCEDES BENZ"
A4704230600,100,"MERCEDES, BENZ, MERCEDES BENZ"
A6420102528,999,"MERCEDES, BENZ, MERCEDES BENZ"
A6420103707,400,"MERCEDES, BENZ, MERCEDES BENZ"
A6420701987,600,"BENZ, MERCEDES, MERCEDES BENZ, BOSCH"
A6422001970,499,"MERCEDES, BENZ, MERCEDES BENZ"
A6422002315,500,"MERCEDES, BENZ, MERCEDES BENZ"
A6450900048,999,"MERCEDES, BENZ, MERCEDES BENZ"
A6510101230,471,"MERCEDES, BENZ, MERCEDES BENZ"
A6510900005,680,MERCEDES
A6512001770,540,"MERCEDES, BENZ, MERCEDES BENZ"
A6512002170,680,MERCEDES
A6512007701,960,"MERCEDES, BENZ, MERCEDES BENZ"
AX2Q6K682CB,900,"LAND ROVER, FORD, GARRETT, JAGUAR"
B66470156,499,"MERCEDES, BENZ, MERCEDES BENZ"
BMW7-G11,100,BMW
CT1134K1,650,"VAG, AUDI, CONTINENTAL, SEAT"
CT908WP1,870,
GA8HP51X,200,BMW
GHY93328Z,600,MAZDA
K015680XS,500,"SKODA, VAG, CONTINENTAL, GATES, INA"
KKB500760,500,"LAND ROVER, RANGE ROVER"
LR002625,800,"LAND ROVER, FORD, VOLVO"
LR002916,706,"LAND ROVER, RANGE ROVER"
LR003651,521,"CITROEN, LAND ROVER, PEUGEOT"
LR005254,700,"RANGE ROVER, LAND ROVER"
LR005939,430,
LR008836,499,
LR008958,800,
LR011219,550,"LAND ROVER, RANGE ROVER"
LR011839,350,"LAND ROVER, MERCEDES, RANGE ROVER, BENZ, HITACHI"
LR015177,850,"RANGE ROVER, LAND ROVER, FORD"
LR015463,810,LAND ROVER
LR016139,700,"LAND ROVER, RANGE ROVER"
LR016683,407,"BREMBO, LAND ROVER, RANGE ROVER"
LR017436,400,"LAND ROVER, RANGE ROVER"
LR020548,800,"JAGUAR, RANGE ROVER"
LR022564,900,"LAND ROVER, RANGE ROVER"
LR022688,722,"LAND ROVER, RANGE ROVER, KIA"
LR023004,1,"LAND ROVER, RANGE ROVER"
LR024473,900,"LAND ROVER, RANGE ROVER, VOLVO"
LR025919,639,"LAND ROVER, JAGUAR, RANGE ROVER"
LR029140,807,"LAND ROVER, RANGE ROVER"
LR029682,300,"RANGE ROVER, LAND ROVER"
LR032067,389,"FORD, PEUGEOT, CITROEN, HYUNDAI, KIA"
LR033534,800,"LAND ROVER, RANGE ROVER"
LR035493,690,"LAND ROVER, RANGE ROVER, FEBEST, JAGUAR"
LR035556,599,"LAND ROVER, MAZDA, RANGE ROVER"
LR036058,800,"LAND ROVER, RANGE ROVER"
LR045251,400,RANGE ROVER
LR052387,800,LAND ROVER
LR057662,999,"LAND ROVER, JAGUAR, RANGE ROVER, FORD"
LR059264,820,"RANGE ROVER, LAND ROVER"
LR066429,800,LAND ROVER
LR070246,12,"LAND ROVER, RANGE ROVER"
LR071914,600,"RANGE ROVER, LAND ROVER, JAGUAR"
LR076696,590,"LAND ROVER, RANGE ROVER, HELLA, TOYOTA"
LR092039,450,"LAND ROVER, RANGE ROVER"
LR098788,800,"RANGE ROVER, LAND ROVER"
LR108980,950,"LAND ROVER, BMW, JAGUAR, RANGE ROVER"
LR111341,946,LAND ROVER
LR137499,855,LAND ROVER
LR156918,500,"LAND ROVER, DEFENDER"
LR180125,902,"LAND ROVER, RANGE ROVER, BMW"
LR181676,900,"LAND ROVER, RANGE ROVER"
N43B20AA,511,BMW
N63B44TU,100,BMW
RVH000055,660,LAND ROVER
S671090255,50,"BMW, AUDI"
S671090312,722,BMW
TDR000120,702,"LAND ROVER, RANGE ROVER"
TDR500100,835,"LAND ROVER, SKODA"
VKBA3643,573,"AUDI, SEAT, SKODA, SKF"
VKBA7011,492,"AUDI, SKF, SKODA"
WGC500150,721,"RANGE ROVER, LAND ROVER, CONTINENTAL"
WGS500110,950,"LAND ROVER, PEUGEOT, CITROEN"
WJI500030,919,"LAND ROVER, RANGE ROVER"
WKW500080,500,"LAND ROVER, RANGE ROVER"
